Temp,Fodder,Duration,Rep,Rand.Code,Off.Counts,Pupae,Larvae,Treat,Day
50C,7.5g,2h,3,31,5,NA,1,Short,Saturday
50C,7.5g,5h,12,3,0,NA,NA,Short,Saturday
50C,7.5g,5h,2,4,0,NA,NA,Short,Saturday
50C,7.5g,5h,4,7,0,NA,NA,Short,Saturday
50C,7.5g,5h,1,13,0,NA,NA,Short,Saturday
50C,7.5g,5h,9,21,0,NA,NA,Short,Saturday
50C,7.5g,5h,11,26,0,NA,NA,Short,Saturday
30C,7.5g,2h,5,33,120,6,1,Short,Sunday
30C,7.5g,2h,9,39,109,4,7,Short,Sunday
30C,7.5g,2h,11,45,96,4,2,Short,Sunday
30C,7.5g,2h,12,52,115,2,3,Short,Sunday
30C,7.5g,2h,1,53,125,9,3,Short,Sunday
30C,7.5g,2h,3,56,84,6,5,Short,Sunday
30C,7.5g,5h,1,34,96,9,5,Short,Sunday
30C,7.5g,5h,6,38,108,11,3,Short,Sunday
30C,7.5g,5h,9,49,102,10,4,Short,Sunday
30C,7.5g,5h,11,54,111,3,1,Short,Sunday
30C,7.5g,5h,4,55,88,6,5,Short,Sunday
30C,7.5g,5h,10,59,87,7,6,Short,Sunday
42C,7.5g,2h,11,34,132,4,4,Short,Sunday
42C,7.5g,2h,8,35,96,7,4,Short,Sunday
42C,7.5g,2h,10,36,119,4,3,Short,Sunday
42C,7.5g,2h,4,41,119,2,3,Short,Sunday
42C,7.5g,2h,12,42,115,2,5,Short,Sunday
42C,7.5g,2h,1,58,109,3,5,Short,Sunday
42C,7.5g,5h,4,31,97,4,3,Short,Sunday
42C,7.5g,5h,8,33,92,15,4,Short,Sunday
42C,7.5g,5h,3,50,104,5,1,Short,Sunday
42C,7.5g,5h,2,51,101,14,2,Short,Sunday
42C,7.5g,5h,7,53,93,6,3,Short,Sunday
42C,7.5g,5h,12,58,91,8,4,Short,Sunday
44C,7.5g,2h,5,46,118,7,4,Short,Sunday
44C,7.5g,2h,3,48,123,7,3,Short,Sunday
44C,7.5g,2h,11,49,100,1,NA,Short,Sunday
44C,7.5g,2h,2,50,117,12,2,Short,Sunday
44C,7.5g,2h,8,54,104,7,11,Short,Sunday
44C,7.5g,2h,7,60,110,9,2,Short,Sunday
44C,7.5g,5h,10,20,80,9,3,Short,Sunday
44C,7.5g,5h,12,32,91,9,4,Short,Sunday
44C,7.5g,5h,3,40,100,10,3,Short,Sunday
44C,7.5g,5h,6,43,98,17,4,Short,Sunday
44C,7.5g,5h,9,45,95,11,2,Short,Sunday
44C,7.5g,5h,7,52,102,9,3,Short,Sunday
50C,7.5g,2h,2,37,0,NA,NA,Short,Sunday
50C,7.5g,2h,8,38,0,NA,NA,Short,Sunday
50C,7.5g,2h,11,40,0,NA,NA,Short,Sunday
50C,7.5g,2h,1,51,0,NA,NA,Short,Sunday
50C,7.5g,2h,5,55,0,NA,NA,Short,Sunday
50C,7.5g,2h,7,57,73,6,3,Short,Sunday
50C,7.5g,5h,7,37,0,NA,NA,Short,Sunday
50C,7.5g,5h,3,39,0,NA,NA,Short,Sunday
50C,7.5g,5h,6,41,0,NA,NA,Short,Sunday
50C,7.5g,5h,8,46,0,NA,NA,Short,Sunday
50C,7.5g,5h,5,48,0,NA,NA,Short,Sunday
50C,7.5g,5h,10,60,0,NA,NA,Short,Sunday
